"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Need of Improvement - Year 1	A	5	B	2.08	66.8	Melodee Khristan	40.8	02M550	B	LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS	7.2	13.8	A	2	HS	B	Proficient	Transfer School	ESO
Requiring Academic Progress - Year 2	B	6.3	C	2.57	54	Antoniette Scarpinato	29.1	02M560	A	HIGH SCHOOL M560 - CITY AS SCHOOL	5.6	13	B	2	HS	B	Well Developed	Transfer School	ESO
Requiring Academic Progress - Year 1	A	1.3	A	2.88	65.2	Herb Mack	25.3	02M565	A	URBAN ACADEMY LABORATORY HIGH SCHOOL	15	23.6	B	2	HS	A	Outstanding	Transfer School	ESO
Restructuring - Year 1	B	6.3	A	2.31	51.2	Steven Zbaida	20.4	02M570	B	SATELLITE ACADEMY HIGH SCHOOL	12	12.5	C	2	HS	B	Well Developed	Transfer School	ESO
In Corrective Action	A	11.3	A	2.41	75.2	Howard A. Friedman	40	02M575	B	MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL	9.8	14.1	A	2	HS	B	Well Developed	Transfer School	ESO
In Good Standing	B	1	B	2.23	49.6	Isabel Dimola	26.6	02M580	B	RICHARD R. GREEN HIGH SCHOOL OF TEACHING	8.8	13.2	B	2	HS	B	Proficient	High School	CLSO
In Good Standing	B	0	F	2.15	52	Alan Nolan	29.6	02M586	B	HARVEY MILK HIGH SCHOOL	1.3	21.1	B	2	HS	A	Proficient	Transfer School	ESO
In Good Standing	A	13	B	2.69	83.2	Hilda Nieto	45.5	02M600	A	HIGH SCHOOL OF FASHION INDUSTRIES, THE	7.8	16.9	A	2	HS	A	Well Developed	High School	ICI
In Good Standing	A	2.5	C	2.54	60.8	Barnaby Spring	35.2	02M605	A	HUMANITIES PREPARATORY ACADEMY	5.3	17.8	A	2	HS	A	Well Developed	Transfer School	ESO
Planning for Restructuring	F	0	C	2.13	27.8	Timothy Timberlake	16.1	02M615	F	CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	3.9	7.8	F	2	HS	C	Underdeveloped with Proficient Features	High School	ESO
Restructuring - Year 1	D	0	C	2.11	29.7	Steven Satin	18.1	02M620	D	NORMAN THOMAS HIGH SCHOOL	4.4	7.2	D	2	HS	C	Proficient	High School	CLSO
In Corrective Action	C	1	B	1.96	36.3	Jerod Resnick	23.6	02M625	C	HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS	5.9	5.8	C	2	HS	F	Proficient	High School	ICI
In Good Standing	B	6	C	2.67	54	Scott M. Feltzin	29.9	02M630	B	ART AND DESIGN HIGH SCHOOL	5.4	12.7	B	2	HS	B	Well Developed	High School	ICI
In Good Standing	C	0	D	3.33	46.2	Genevieve Stanislaus	30.2	02M655	D	LIFE SCIENCES SECONDARY SCHOOL	4.8	11.2	B	2	ESMS	D	Well Developed	Middle School	ICI
In Good Standing	B	2	C	2.37	57.6	Genevieve Stanislaus	30.7	02M655	B	LIFE SCIENCES SECONDARY SCHOOL	4.7	20.2	B	2	HS	A	Well Developed	High School	ICI
""						Junior Miller		02M690		SCHOOL FOR THE PHYSICAL CITY HIGH SCHOOL				2	HS			High School	ICI
""		0																	
In Good Standing																			
In Good Standing	B	5.25	A	3.20	62.9	Kelly Mcguire	31.4	02M896	A	GREENWICH VILLAGE	10.9	15.3	B	2	ESMS	B	Proficient	Middle School	ESO
In Good Standing	B	0.75	A	22.71	54.8	Diane Brady	23.6	03M009	A	P.S. 009 SARAH ANDERSON	10.2	20.2	B	3	ESMS	A	Outstanding	Elementary School	ESO
Restructuring - Year 3	D	1.5	C	2.82	37.4	Liza Ortiz	18.7	03M044	B	J.H.S. M044 WILLIAM J. O'SHEA	5.2	12	C	3	ESMS	D	Proficient	Middle School	LLSO
Requiring Academic Progress - Year 4	C	1.5	B	3.58	45.7	Elana Elster	22.1	03M054	A	J.H.S. 054 BOOKER T. WASHINGTON	7	15.1	C	3	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	B	2.25	D	44.53	50.8	Robert O'Brien	31.6	03M075	B	P.S. 075 EMILY DICKINSON	4.4	12.5	B	3	ESMS	B	Proficient	Elementary School	ESO
In Good Standing	B	3	B	60.24	51.4	Charles Deberry	33	03M076	C	P.S. 076 A. PHILIP RANDOLPH	6.7	8.7	A	3	ESMS	C	Proficient	Elementary School	CLSO
In Good Standing	B	3	C	54.83	47.4	Robin Sundick	25.3	03M084	C	P.S. 084 LILLIAN WEBER	5.7	13.4	B	3	ESMS	B	Proficient	Elementary School	ESO
